record,group,time_s,r_cm,z_cm,value,metric
field,Q2/Q3,10800.0,0.031005859375,0.19378662109375,-2.2830625536096605e-05,delta_C
field,Q2/Q3,10800.0,0.092529296875,0.19378662109375,-2.2746271898244075e-05,delta_C
field,Q2/Q3,10800.0,0.153076171875,0.19378662109375,-2.2581839107083113e-05,delta_C
field,Q2/Q3,10800.0,0.21264648437500003,0.19378662109375,-2.2341782359491802e-05,delta_C
field,Q2/Q3,10800.0,0.271240234375,0.19378662109375,-2.203069532180635e-05,delta_C
field,Q2/Q3,10800.0,0.328857421875,0.19378662109375,-2.1653270806609726e-05,delta_C
field,Q2/Q3,10800.0,0.385498046875,0.19378662109375,-2.1214264452673604e-05,delta_C
field,Q2/Q3,10800.0,0.441162109375,0.19378662109375,-2.0718461303914637e-05,delta_C
field,Q2/Q3,10800.0,0.49584960937499994,0.19378662109375,-2.0170645175232593e-05,delta_C
field,Q2/Q3,10800.0,0.549560546875,0.19378662109375,-1.957557069953708e-05,delta_C
field,Q2/Q3,10800.0,0.602294921875,0.19378662109375,-1.893793796248211e-05,delta_C
field,Q2/Q3,10800.0,0.654052734375,0.19378662109375,-1.8262369605670514e-05,delta_C
field,Q2/Q3,10800.0,0.704833984375,0.19378662109375,-1.7553390301072724e-05,delta_C
field,Q2/Q3,10800.0,0.754638671875,0.19378662109375,-1.6815408485415517e-05,delta_C
field,Q2/Q3,10800.0,0.8034667968750001,0.19378662109375,-1.605270026328043e-05,delta_C
field,Q2/Q3,10800.0,0.8513183593749999,0.19378662109375,-1.5269395352568438e-05,delta_C
field,Q2/Q3,10800.0,0.898193359375,0.19378662109375,-1.4469464989286251e-05,delta_C
field,Q2/Q3,10800.0,0.944091796875,0.19378662109375,-1.3656711672638266e-05,delta_C
field,Q2/Q3,10800.0,0.989013671875,0.19378662109375,-1.2834760646951437e-05,delta_C
field,Q2/Q3,10800.0,1.032958984375,0.19378662109375,-1.2007053026064085e-05,delta_C
field,Q2/Q3,10800.0,1.075927734375,0.19378662109375,-1.1176840435611624e-05,delta_C
field,Q2/Q3,10800.0,1.117919921875,0.19378662109375,-1.034718109371724e-05,delta_C
field,Q2/Q3,10800.0,1.158935546875,0.19378662109375,-9.520937210183433e-06,delta_C
field,Q2/Q3,10800.0,1.198974609375,0.19378662109375,-8.700773624470415e-06,delta_C
field,Q2/Q3,10800.0,1.238037109375,0.19378662109375,-7.88915759586395e-06,delta_C
field,Q2/Q3,10800.0,1.276123046875,0.19378662109375,-7.0883596667847826e-06,delta_C
field,Q2/Q3,10800.0,1.313232421875,0.19378662109375,-6.300455558383433e-06,delta_C
field,Q2/Q3,10800.0,1.349365234375,0.19378662109375,-5.5273290355817295e-06,delta_C
field,Q2/Q3,10800.0,1.384521484375,0.19378662109375,-4.770675719134587e-06,delta_C
field,Q2/Q3,10800.0,1.418701171875,0.19378662109375,-4.032007803633775e-06,delta_C
field,Q2/Q3,10800.0,1.451904296875,0.19378662109375,-3.3126596452603962e-06,delta_C
field,Q2/Q3,10800.0,1.484130859375,0.19378662109375,-2.6137941666615205e-06,delta_C
field,Q2/Q3,10800.0,1.515380859375,0.19378662109375,-1.9364099990148986e-06,delta_C
field,Q2/Q3,10800.0,1.545654296875,0.19378662109375,-1.2813492700214368e-06,delta_C
field,Q2/Q3,10800.0,1.5749511718750002,0.19378662109375,-6.493059065970641e-07,delta_C
field,Q2/Q3,10800.0,1.603271484375,0.19378662109375,-4.0834319703364486e-08,delta_C
field,Q2/Q3,10800.0,1.6306152343750002,0.19378662109375,5.436416772308661e-07,delta_C
field,Q2/Q3,10800.0,1.656982421875,0.19378662109375,1.1038198310941993e-06,delta_C
field,Q2/Q3,10800.0,1.682373046875,0.19378662109375,1.6395103927813182e-06,delta_C
field,Q2/Q3,10800.0,1.706787109375,0.19378662109375,2.1506270904136926e-06,delta_C
field,Q2/Q3,10800.0,1.730224609375,0.19378662109375,2.6371781765011093e-06,delta_C
field,Q2/Q3,10800.0,1.7526855468750002,0.19378662109375,3.0992575776878084e-06,delta_C
field,Q2/Q3,10800.0,1.774169921875,0.19378662109375,3.5370361703979114e-06,delta_C
field,Q2/Q3,10800.0,1.7946777343750002,0.19378662109375,3.9507531770510695e-06,delta_C
field,Q2/Q3,10800.0,1.814208984375,0.19378662109375,4.340707653538445e-06,delta_C
field,Q2/Q3,10800.0,1.8327636718750002,0.19378662109375,4.707249980917538e-06,delta_C
field,Q2/Q3,10800.0,1.8503417968750002,0.19378662109375,5.050773296488842e-06,delta_C
field,Q2/Q3,10800.0,1.866943359375,0.19378662109375,5.371704867362936e-06,delta_C
field,Q2/Q3,10800.0,1.882568359375,0.19378662109375,5.670497537080266e-06,delta_C
field,Q2/Q3,10800.0,1.8972167968750002,0.19378662109375,5.947621405377745e-06,delta_C
field,Q2/Q3,10800.0,1.910888671875,0.19378662109375,6.203555819261908e-06,delta_C
field,Q2/Q3,10800.0,1.9235839843750002,0.19378662109375,6.438781751327838e-06,delta_C
field,Q2/Q3,10800.0,1.935302734375,0.19378662109375,6.6537747061001795e-06,delta_C
field,Q2/Q3,10800.0,1.9460449218750002,0.19378662109375,6.848998216124613e-06,delta_C
field,Q2/Q3,10800.0,1.955810546875,0.19378662109375,7.024897909602146e-06,delta_C
field,Q2/Q3,10800.0,1.964599609375,0.19378662109375,7.18189610116049e-06,delta_C
field,Q2/Q3,10800.0,1.9724121093750002,0.19378662109375,7.320386881559671e-06,delta_C
field,Q2/Q3,10800.0,1.9792480468750002,0.19378662109375,7.440731700114611e-06,delta_C
field,Q2/Q3,10800.0,1.985107421875,0.19378662109375,7.543255435393803e-06,delta_C
field,Q2/Q3,10800.0,1.9899902343750002,0.19378662109375,7.628242956636555e-06,delta_C
field,Q2/Q3,10800.0,1.993896484375,0.19378662109375,7.69593617211406e-06,delta_C
field,Q2/Q3,10800.0,1.9968261718750002,0.19378662109375,7.746531567320858e-06,delta_C
field,Q2/Q3,10800.0,1.998779296875,0.19378662109375,7.780178233884882e-06,delta_C
field,Q2/Q3,10800.0,1.999755859375,0.19378662109375,7.796976389196075e-06,delta_C
field,Q2/Q3,10800.0,0.031005859375,0.57830810546875,-2.4434453553823232e-05,delta_C
field,Q2/Q3,10800.0,0.092529296875,0.57830810546875,-2.4344135530318667e-05,delta_C
field,Q2/Q3,10800.0,0.153076171875,0.57830810546875,-2.416808286742622e-05,delta_C
field,Q2/Q3,10800.0,0.21264648437500003,0.57830810546875,-2.3911077953409077e-05,delta_C
field,Q2/Q3,10800.0,0.271240234375,0.57830810546875,-2.357805597119622e-05,delta_C
field,Q2/Q3,10800.0,0.328857421875,0.57830810546875,-2.317406186813642e-05,delta_C
field,Q2/Q3,10800.0,0.385498046875,0.57830810546875,-2.2704210611568243e-05,delta_C
field,Q2/Q3,10800.0,0.441162109375,0.57830810546875,-2.2173650598089623e-05,delta_C
field,Q2/Q3,10800.0,0.49584960937499994,0.57830810546875,-2.1587530121713883e-05,delta_C
field,Q2/Q3,10800.0,0.549560546875,0.57830810546875,-2.0950966767241397e-05,delta_C
field,Q2/Q3,10800.0,0.602294921875,0.57830810546875,-2.026901963581018e-05,delta_C
field,Q2/Q3,10800.0,0.654052734375,0.57830810546875,-1.954666427073093e-05,delta_C
field,Q2/Q3,10800.0,0.704833984375,0.57830810546875,-1.8788770182354142e-05,delta_C
field,Q2/Q3,10800.0,0.754638671875,0.57830810546875,-1.800008085250937e-05,delta_C
field,Q2/Q3,10800.0,0.8034667968750001,0.57830810546875,-1.718519610949265e-05,delta_C
field,Q2/Q3,10800.0,0.8513183593749999,0.57830810546875,-1.634855675702873e-05,delta_C
field,Q2/Q3,10800.0,0.898193359375,0.57830810546875,-1.5494431342633064e-05,delta_C
field,Q2/Q3,10800.0,0.944091796875,0.57830810546875,-1.462690496012442e-05,delta_C
field,Q2/Q3,10800.0,0.989013671875,0.57830810546875,-1.3749869958168404e-05,delta_C
field,Q2/Q3,10800.0,1.032958984375,0.57830810546875,-1.2867018459150614e-05,delta_C
field,Q2/Q3,10800.0,1.075927734375,0.57830810546875,-1.1981836548713432e-05,delta_C
field,Q2/Q3,10800.0,1.117919921875,0.57830810546875,-1.1097600057352608e-05,delta_C
field,Q2/Q3,10800.0,1.158935546875,0.57830810546875,-1.02173717893006e-05,delta_C
field,Q2/Q3,10800.0,1.198974609375,0.57830810546875,-9.344000123645557e-06,delta_C
field,Q2/Q3,10800.0,1.238037109375,0.57830810546875,-8.480118884213184e-06,delta_C
field,Q2/Q3,10800.0,1.276123046875,0.57830810546875,-7.628148390503853e-06,delta_C
field,Q2/Q3,10800.0,1.313232421875,0.57830810546875,-6.790297643499699e-06,delta_C
field,Q2/Q3,10800.0,1.349365234375,0.57830810546875,-5.96856757195674e-06,delta_C
field,Q2/Q3,10800.0,1.384521484375,0.57830810546875,-5.16475531187055e-06,delta_C
field,Q2/Q3,10800.0,1.418701171875,0.57830810546875,-4.3804594693774845e-06,delta_C
field,Q2/Q3,10800.0,1.451904296875,0.57830810546875,-3.617086320906182e-06,delta_C
field,Q2/Q3,10800.0,1.484130859375,0.57830810546875,-2.8758568966225084e-06,delta_C
field,Q2/Q3,10800.0,1.515380859375,0.57830810546875,-2.1578148485801307e-06,delta_C
field,Q2/Q3,10800.0,1.545654296875,0.57830810546875,-1.4638350138707068e-06,delta_C
field,Q2/Q3,10800.0,1.5749511718750002,0.57830810546875,-7.946325215613115e-07,delta_C
field,Q2/Q3,10800.0,1.603271484375,0.57830810546875,-1.5077230308691014e-07,delta_C
field,Q2/Q3,10800.0,1.6306152343750002,0.57830810546875,4.6732114644676415e-07,delta_C
field,Q2/Q3,10800.0,1.656982421875,0.57830810546875,1.0593538943837189e-06,delta_C
field,Q2/Q3,10800.0,1.682373046875,0.57830810546875,1.6251526739896605e-06,delta_C
field,Q2/Q3,10800.0,1.706787109375,0.57830810546875,2.164655037883989e-06,delta_C
field,Q2/Q3,10800.0,1.730224609375,0.57830810546875,2.6778995960707874e-06,delta_C
field,Q2/Q3,10800.0,1.7526855468750002,0.57830810546875,3.165016375428209e-06,delta_C
field,Q2/Q3,10800.0,1.774169921875,0.57830810546875,3.6262173221945915e-06,delta_C
field,Q2/Q3,10800.0,1.7946777343750002,0.57830810546875,4.061786944564716e-06,delta_C
field,Q2/Q3,10800.0,1.814208984375,0.57830810546875,4.472073057426584e-06,delta_C
field,Q2/Q3,10800.0,1.8327636718750002,0.57830810546875,4.85747755951671e-06,delta_C
field,Q2/Q3,10800.0,1.8503417968750002,0.57830810546875,5.218447155286299e-06,delta_C
field,Q2/Q3,10800.0,1.866943359375,0.57830810546875,5.555464049455949e-06,delta_C
field,Q2/Q3,10800.0,1.882568359375,0.57830810546875,5.869036734607036e-06,delta_C
field,Q2/Q3,10800.0,1.8972167968750002,0.57830810546875,6.159691043006177e-06,delta_C
field,Q2/Q3,10800.0,1.910888671875,0.57830810546875,6.427961536381588e-06,delta_C
field,Q2/Q3,10800.0,1.9235839843750002,0.57830810546875,6.674383318028276e-06,delta_C
field,Q2/Q3,10800.0,1.935302734375,0.57830810546875,6.899484410460843e-06,delta_C
field,Q2/Q3,10800.0,1.9460449218750002,0.57830810546875,7.103778755235268e-06,delta_C
field,Q2/Q3,10800.0,1.955810546875,0.57830810546875,7.28775982250518e-06,delta_C
field,Q2/Q3,10800.0,1.964599609375,0.57830810546875,7.45189478301711e-06,delta_C
field,Q2/Q3,10800.0,1.9724121093750002,0.57830810546875,7.596619211014399e-06,delta_C
field,Q2/Q3,10800.0,1.9792480468750002,0.57830810546875,7.722332321158376e-06,delta_C
field,Q2/Q3,10800.0,1.985107421875,0.57830810546875,7.829392727698448e-06,delta_C
field,Q2/Q3,10800.0,1.9899902343750002,0.57830810546875,7.918114731220172e-06,delta_C
field,Q2/Q3,10800.0,1.993896484375,0.57830810546875,7.98876513252722e-06,delta_C
field,Q2/Q3,10800.0,1.9968261718750002,0.57830810546875,8.0415605709927e-06,delta_C
field,Q2/Q3,10800.0,1.998779296875,0.57830810546875,8.07666539448526e-06,delta_C
field,Q2/Q3,10800.0,1.999755859375,0.57830810546875,8.094190058871575e-06,delta_C
field,Q2/Q3,10800.0,0.031005859375,0.95672607421875,-2.766159851530503e-05,delta_C
field,Q2/Q3,10800.0,0.092529296875,0.95672607421875,-2.7559293500400983e-05,delta_C
field,Q2/Q3,10800.0,0.153076171875,0.95672607421875,-2.735988811797263e-05,delta_C
field,Q2/Q3,10800.0,0.21264648437500003,0.95672607421875,-2.706882314718051e-05,delta_C
field,Q2/Q3,10800.0,0.271240234375,0.95672607421875,-2.669172124725172e-05,delta_C
field,Q2/Q3,10800.0,0.328857421875,0.95672607421875,-2.6234336416131043e-05,delta_C
field,Q2/Q3,10800.0,0.385498046875,0.95672607421875,-2.5702507281621934e-05,delta_C
field,Q2/Q3,10800.0,0.441162109375,0.95672607421875,-2.51021140995622e-05,delta_C
field,Q2/Q3,10800.0,0.49584960937499994,0.95672607421875,-2.443903933158076e-05,delta_C
field,Q2/Q3,10800.0,0.549560546875,0.95672607421875,-2.3719131655441927e-05,delta_C
field,Q2/Q3,10800.0,0.602294921875,0.95672607421875,-2.294817330628085e-05,delta_C
field,Q2/Q3,10800.0,0.654052734375,0.95672607421875,-2.213185058574929e-05,delta_C
field,Q2/Q3,10800.0,0.704833984375,0.95672607421875,-2.127572744026196e-05,delta_C
field,Q2/Q3,10800.0,0.754638671875,0.95672607421875,-2.0385221948027166e-05,delta_C
field,Q2/Q3,10800.0,0.8034667968750001,0.95672607421875,-1.946558561560785e-05,delta_C
field,Q2/Q3,10800.0,0.8513183593749999,0.95672607421875,-1.85218853281377e-05,delta_C
field,Q2/Q3,10800.0,0.898193359375,0.95672607421875,-1.755898783373233e-05,delta_C
field,Q2/Q3,10800.0,0.944091796875,0.95672607421875,-1.6581546636196265e-05,delta_C
field,Q2/Q3,10800.0,0.989013671875,0.95672607421875,-1.559399114814397e-05,delta_C
field,Q2/Q3,10800.0,1.032958984375,0.95672607421875,-1.4600517991514295e-05,delta_C
field,Q2/Q3,10800.0,1.075927734375,0.95672607421875,-1.3605084286494318e-05,delta_C
field,Q2/Q3,10800.0,1.117919921875,0.95672607421875,-1.2611402831153029e-05,delta_C
field,Q2/Q3,10800.0,1.158935546875,0.95672607421875,-1.1622939005695443e-05,delta_C
field,Q2/Q3,10800.0,1.198974609375,0.95672607421875,-1.0642909308966608e-05,delta_C
field,Q2/Q3,10800.0,1.238037109375,0.95672607421875,-9.67428140241644e-06,delta_C
field,Q2/Q3,10800.0,1.276123046875,0.95672607421875,-8.719775558496679e-06,delta_C
field,Q2/Q3,10800.0,1.313232421875,0.95672607421875,-7.781867442435697e-06,delta_C
field,Q2/Q3,10800.0,1.349365234375,0.95672607421875,-6.862792147899199e-06,delta_C
field,Q2/Q3,10800.0,1.384521484375,0.95672607421875,-5.964549431913824e-06,delta_C
