time_h,current_radius_cm
6.0000,1.374000
12.0000,1.248000
18.0000,1.214000
24.0000,1.204000
30.0000,1.201000
36.0000,1.200000
42.0000,1.200000
48.0000,1.200000
51.0920,1.200000
